t_s,drop_rate_per_s,backlog_pkts,throughput_mbps,target_ms,limit_pkts
0.51,1076933.4,0,2350.293,5.0,1024
1.02,57.2,402,9.925,5.0,1024
1.52,248.6,458,10.002,5.0,1024
2.03,446.2,460,9.996,5.0,1024
2.54,650.1,468,10.001,5.0,1024
3.04,852.3,458,10.005,5.0,1024
3.55,1053.9,461,10.0,5.0,1024
4.05,1257.6,451,10.0,5.0,1024
4.56,1460.8,446,9.998,5.0,1024
5.06,1569.7,427,9.998,5.0,1024
5.57,1848.6,427,10.007,5.0,1024
6.07,1967.1,439,9.998,5.0,954
6.58,4334.6,448,10.003,5.0,954
7.08,4740.8,401,9.997,5.0,970
7.59,5395.0,468,10.001,5.0,970
8.09,6312.0,466,9.994,5.0,970
8.6,7122.5,478,10.004,5.0,993
9.1,7005.4,437,10.006,5.0,993
9.61,7297.6,437,9.992,5.0,993
10.12,7682.3,391,10.008,5.0,993
10.62,8481.5,401,9.994,5.0,993
11.13,9311.6,376,10.004,5.0,993
11.63,10124.1,383,10.001,5.0,993
12.13,10933.4,377,10.001,5.0,993
12.64,11730.5,402,9.999,5.0,993
13.14,12366.2,416,9.995,5.0,993
13.64,11063.6,415,10.002,5.0,993
14.15,11619.4,418,9.998,5.0,993
14.65,11285.1,436,10.004,5.0,993
15.16,11607.3,400,9.998,5.0,993
15.67,11227.6,391,10.0,5.0,993
16.17,8368.4,438,10.002,5.0,993
16.67,9148.1,457,9.995,5.0,993
17.18,9074.0,429,9.998,5.0,993
17.69,9270.5,416,9.996,5.0,993
18.19,7652.2,434,10.008,5.0,993
18.7,8641.3,433,9.998,5.0,993
19.2,8468.1,473,9.999,5.0,993
19.71,9267.7,407,10.0,5.0,993
20.22,8698.7,434,9.993,5.0,993
20.72,6475.3,395,10.004,5.0,993
21.23,6434.6,377,10.0,5.0,993
21.73,6432.8,441,10.01,5.0,993
22.24,6461.5,477,9.993,5.0,993
22.74,7316.6,430,10.001,5.0,993
23.25,8038.1,460,10.001,5.0,993
23.75,7469.2,387,10.001,5.0,993
24.26,8139.2,396,10.004,5.0,993
24.76,8481.1,403,9.999,5.0,993
25.26,8828.1,404,10.0,5.0,993
25.77,9361.4,394,9.998,5.0,993
26.27,9334.4,396,9.999,5.0,993
26.77,10356.7,389,10.0,5.0,993
27.28,10065.6,413,10.003,5.0,993
27.78,10797.2,369,10.0,5.0,993
28.29,9074.0,398,9.997,5.0,993
28.79,9277.6,437,9.999,5.0,993
29.3,8278.8,0,9.997,5.0,993
29.8,7714.4,444,10.005,5.0,977
30.31,5490.5,467,9.998,5.0,977
30.81,4009.7,479,10.003,5.0,977
31.32,4545.6,463,9.995,5.0,977
31.82,5013.8,471,10.001,5.0,977
32.33,5782.7,451,10.0,5.0,977
32.83,6405.4,457,10.005,5.0,977
33.33,6846.1,397,10.0,5.0,977
33.84,6016.8,401,9.997,5.0,977
34.34,5951.8,368,10.003,5.0,977
34.85,5909.0,449,10.001,5.0,977
35.35,4631.2,418,9.999,5.0,977
35.85,4017.1,446,9.997,5.0,977
36.36,4031.4,404,10.003,5.0,977
36.86,4665.9,424,9.995,5.0,947
37.37,5264.9,441,10.003,5.0,947
37.87,5113.0,433,9.997,5.0,947
38.38,5406.3,373,9.998,5.0,947
38.88,5159.1,411,10.004,5.0,947
39.38,5775.0,392,10.001,5.0,947
39.89,6124.3,430,10.0,5.0,947
40.39,5995.0,417,9.997,5.0,947
40.9,6008.1,373,10.006,5.0,931
41.4,4586.3,452,9.994,5.0,931
41.91,4077.7,453,10.001,5.0,931
42.41,4941.8,459,10.004,5.0,931
42.92,4408.0,427,9.997,5.0,931
43.42,4272.6,470,10.002,5.0,931
43.92,3663.7,466,9.998,5.0,931
44.43,3933.3,446,10.003,5.0,931
44.93,4641.9,418,10.001,5.0,931
45.43,4734.7,415,10.001,5.0,931
45.94,4653.3,440,10.001,5.0,931
46.44,4630.7,455,10.001,5.0,931
46.94,5119.5,438,9.995,5.0,931
47.45,5157.7,417,10.002,5.0,931
47.95,4717.1,0,9.994,5.0,931
48.46,4722.9,440,10.006,5.0,901
48.96,5181.0,358,9.999,5.0,901
49.47,4728.1,0,9.999,5.0,901
49.97,4901.7,417,9.997,5.0,901
50.47,5098.5,431,10.003,5.0,901
50.98,5289.9,401,10.002,5.0,901
51.48,4484.9,453,9.992,5.0,901
51.99,4033.1,455,10.004,5.0,885
52.49,4312.9,468,9.997,5.0,885
53.0,5179.1,466,10.0,5.0,885
53.51,4857.7,445,10.003,5.0,885
54.01,5607.5,457,9.996,5.0,885
54.52,6490.9,441,9.996,5.0,885
55.02,6520.7,329,10.012,5.0,885
55.53,4835.0,457,9.998,5.0,885
56.03,3999.8,393,10.0,5.0,885
56.53,3821.2,417,10.003,5.0,885
57.04,3985.9,459,9.997,5.0,885
57.54,4450.6,452,9.995,5.0,885
58.05,5130.8,395,10.004,5.0,885
58.55,5217.6,440,9.994,5.0,885
59.06,6111.9,409,10.004,5.0,885
59.56,6696.4,438,10.004,5.0,885
60.07,6319.7,403,9.999,5.0,855
60.57,6427.5,423,9.995,5.0,855
61.08,5648.9,427,10.001,5.0,855
61.58,4830.0,456,10.003,5.0,855
62.09,4741.3,412,10.001,5.0,855
62.59,5618.2,380,9.999,5.0,855
63.1,5533.9,394,9.998,5.0,855
63.6,5385.6,390,10.001,5.0,855
64.1,6046.7,389,10.001,5.0,855
64.61,6269.7,371,10.001,5.0,839
65.11,5146.4,435,9.999,5.0,839
65.61,4400.8,418,10.002,5.0,839
66.12,4672.0,406,10.0,5.0,839
66.62,4585.3,421,9.999,5.0,839
67.12,4747.1,435,10.001,5.0,839
67.63,5298.2,449,9.994,5.0,839
68.13,5988.4,382,10.005,5.0,839
68.63,5387.5,416,10.001,5.0,839
69.14,5496.5,401,9.999,5.0,839
69.64,6167.9,409,9.999,5.0,839
70.14,5944.6,383,10.0,5.0,839
70.65,5426.6,358,10.001,5.0,839
71.15,5177.5,414,10.001,5.0,839
71.65,5702.7,429,10.0,5.0,839
72.16,5639.9,417,10.001,5.0,839
72.66,5708.4,446,9.996,5.0,839
73.17,4796.4,390,10.0,5.0,839
73.67,5174.5,449,9.995,5.0,808
74.17,5411.7,400,10.004,5.0,808
74.68,5542.9,397,10.006,5.0,808
75.18,5206.2,383,9.997,5.0,808
75.69,4401.7,402,10.001,5.0,808
76.19,3898.6,482,9.996,5.0,808
76.69,4024.2,415,10.002,5.0,808
77.2,4418.2,432,10.004,5.0,808
77.7,4119.7,352,9.996,5.0,808
78.21,4719.9,395,10.003,5.0,808
78.71,5216.3,388,9.997,5.0,808
79.21,5792.0,420,9.996,5.0,808
79.72,6606.0,399,10.003,5.0,808
80.22,7242.2,396,10.001,5.0,808
80.72,8022.7,361,9.999,5.0,808
81.23,8816.0,390,10.004,5.0,808
81.73,8973.5,403,9.999,5.0,808
82.23,7845.8,386,9.998,5.0,808
82.74,5458.4,442,9.999,5.0,808
83.24,4708.6,453,10.001,5.0,778
83.75,4858.3,463,9.993,5.0,778
84.25,5463.9,448,10.004,5.0,778
84.76,5738.8,431,10.002,5.0,778
85.26,5707.0,427,9.995,5.0,778
85.77,6445.1,474,10.003,5.0,778
86.27,7280.6,432,10.001,5.0,778
86.78,7922.5,368,10.0,5.0,778
87.28,8841.0,376,10.001,5.0,778
87.78,9371.0,395,10.003,5.0,762
88.29,9768.5,356,9.996,5.0,762
88.79,9855.1,410,9.994,5.0,762
89.3,10016.5,415,10.008,5.0,762
89.8,11046.5,394,9.997,5.0,762
90.31,10024.1,431,10.0,5.0,762
90.81,9506.4,402,10.004,5.0,762
91.32,9886.0,401,9.998,5.0,762
91.82,10695.1,400,10.0,5.0,762
92.33,10374.0,391,9.998,5.0,762
92.83,11069.1,405,10.002,5.0,762
93.34,10213.2,437,9.997,5.0,762
93.84,9497.3,449,9.999,5.0,762
94.35,7747.3,475,10.003,5.0,762
94.86,6930.0,469,9.999,5.0,762
95.36,7156.3,445,9.999,5.0,762
95.87,6934.6,445,10.003,5.0,762
96.37,5945.3,456,9.998,5.0,762
96.88,6174.7,430,10.001,5.0,762
97.38,5958.6,413,10.002,5.0,732
97.89,6376.9,384,9.997,5.0,732
98.39,6962.1,418,10.002,5.0,732
98.9,7293.6,422,9.996,5.0,732
99.4,7757.0,449,10.002,5.0,732
99.91,8530.8,451,9.997,5.0,732
100.41,8220.5,432,10.002,5.0,732
100.92,8722.6,426,9.997,5.0,732
101.43,7322.3,447,10.0,5.0,732
101.93,6347.2,426,10.002,5.0,732
102.44,6366.1,431,9.997,5.0,732
102.94,6605.0,396,10.003,5.0,716
103.45,7409.9,454,9.997,5.0,716
103.95,7860.5,439,10.002,5.0,716
104.46,7475.2,396,10.002,5.0,716
104.97,7513.8,461,10.0,5.0,716
105.47,8459.7,433,9.997,5.0,716
105.98,8736.7,445,10.004,5.0,716
106.48,8533.8,451,10.0,5.0,716
106.99,9241.3,432,10.002,5.0,716
107.49,8098.7,0,9.995,5.0,716
108.0,6911.6,467,10.004,5.0,716
108.5,7599.7,407,9.995,5.0,716
109.01,8432.0,380,10.004,5.0,716
109.51,8256.4,384,9.997,5.0,716
110.02,9092.7,383,10.008,5.0,716
110.52,9293.4,385,9.997,5.0,716
111.02,8483.1,461,9.998,5.0,716
111.53,6761.2,410,10.004,5.0,716
112.03,7253.3,467,9.996,5.0,716
112.54,8187.6,412,9.999,5.0,686
113.04,8616.8,433,10.0,5.0,686
113.55,8866.6,397,10.005,5.0,686
114.05,7238.0,451,9.996,5.0,686
114.56,7293.7,464,10.0,5.0,686
115.07,7662.3,445,9.995,5.0,686
115.57,7535.6,410,10.004,5.0,686
116.08,7147.2,437,9.996,5.0,686
116.58,6983.4,469,10.006,5.0,686
117.09,6644.1,438,9.999,5.0,686
117.59,7440.4,449,10.002,5.0,670
118.1,7643.6,423,9.998,5.0,670
118.6,7251.0,444,9.997,5.0,670
119.11,8172.8,413,10.004,5.0,670
119.61,8093.8,398,9.999,5.0,670
120.12,8663.7,379,9.999,5.0,670
120.63,7683.9,0,8.831,5.0,670
